,title,url,discounted_price,original_price,discount
25,220-240V E27 18W 1650LM 56-LED SMD 5630 LED Corn Bulb HLT-363829-D1,https://web.archive.org/web/20161226163139/https:/www.tinydeal.com/220-240v-e27-18w-1650lm-56-led-smd-5630-led-corn-bulb-p-160170.html,2.29,5.82,60.650000000000006
26,H96 MAX RK3328 Quad Core 4GB + 64GB Android 8.1 HD Smart TV Box E-556632,https://web.archive.org/web/20190225123327/https:/www.tinydeal.com/h96-max-rk3328-quad-core-4gb-64gb-android-81-hd-smart-tv-box-p-177441.html,59.29,150.05,60.49
27,Magnetic Electric Eyes Massager - 9-Mode HKH-241907,https://web.archive.org/web/20131220020812/http://www.tinydeal.com/ru/9-mode-magnetic-electric-eyes-massager-p-108059.html,10.99,27.73,60.370000000000005
28,Stereo In-ear Earphone Reflective Fiber Cloth Line w/ 3.5mm Jack EEP-489927-C35,https://web.archive.org/web/20161226163139/https:/www.tinydeal.com/stereo-in-ear-earphone-reflective-fiber-cloth-line-w-35mm-jack-p-162524.html,1.31,3.29,60.18
29,Magnetic Electric Eyes Massager - 9-Mode HKH-241907,https://web.archive.org/web/20131113073653/http://www.tinydeal.com/ru/9-mode-magnetic-electric-eyes-massager-p-108059.html,11.02,27.64,60.129999999999995
30,Magnetic Electric Eyes Massager - 9-Mode HKH-241907,https://web.archive.org/web/20131209090029/http://www.tinydeal.com/ru/9-mode-magnetic-electric-eyes-massager-p-108059.html,11.02,27.64,60.129999999999995
31,Magnetic Electric Eyes Massager - 9-Mode HKH-241907,https://web.archive.org/web/20131210151330/http://www.tinydeal.com/ru/9-mode-magnetic-electric-eyes-massager-p-108059.html,11.06,27.73,60.12
32,(ALIKE) 50M Waterproof Analog-digital Watch with Alarm for Men WMN-234983,https://web.archive.org/web/20131209090029/http://www.tinydeal.com/ru/alike-50m-waterproof-analog-digital-watch-with-alarm-for-men-p-106259.html,9.99,25.0,60.040000000000006
33,H96 MAX RK3328 Quad Core 4G + 32G Android 8.1 HD Smart TV Box E-556636,https://web.archive.org/web/20190225123327/https:/www.tinydeal.com/h96-max-rk3328-quad-core-4g-32g-android-81-hd-smart-tv-box-p-177442.html,50.33,125.82,60.0
34,i7 TWS Bluetooth V4.2 Earphones with Charging Case EEP-550657-C9,https://web.archive.org/web/20190225123327/https:/www.tinydeal.com/i7-tws-bluetooth-v42-earphones-with-charging-case-p-176828.html,7.63,18.96,59.760000000000005
35,Tea Strainer Silicone Coffee & Tea Sets Teapot Accessories Tea tool Tea Infuse HHI-561835,https://web.archive.org/web/20190225123327/https:/www.tinydeal.com/tea-strainer-silicone-coffee-tea-sets-teapot-accessories-tea-tool-tea-infuse-p-179101.html,2.4,5.95,59.660000000000004
36,Outdoor Sport Safety Warning Wrist LED Light Clip Luminous Lamp HLT-520170-D8,https://web.archive.org/web/20161226163139/https:/www.tinydeal.com/outdoor-sport-safety-warning-wrist-led-light-clip-luminous-lamp-p-162528.html,2.07,5.02,58.76
37,S6 Sport Bluetooth Wireless Headphones Earbuds with Mic EEP-556228,https://web.archive.org/web/20190225123327/https:/www.tinydeal.com/s6-sport-bluetooth-wireless-headphones-earbuds-with-mic-p-177327.html,3.3,7.85,57.96
38,"8.5"" LCD Writing Tablet of Environmental Protection Drawing Board Gifts f Kids TTH-530169",https://web.archive.org/web/20190225123327/https:/www.tinydeal.com/85-lcd-writing-tablet-of-environmental-protection-drawing-board-gifts-f-kids-p-166085.html,7.63,18.09,57.82000000000001
39,20pcs Black Rose Flower Plant Seeds TDS-378201,https://web.archive.org/web/20161226163139/https:/www.tinydeal.com/20pcs-black-rose-flower-plant-seeds-p-146096.html,1.17,2.77,57.76
40,1/2 pcs Standard 1M Magnetic Charge Cable + Detachable Micro USB Metal Plug EPACB-487297,https://web.archive.org/web/20190225123327/https:/www.tinydeal.com/12-pcs-standard-1m-magnetic-charge-cable-detachable-micro-usb-metal-plug-p-156704.html,2.73,6.34,56.940000000000005
41,XIAOMI REDMI NOTE 4 PRO 3GB RAM 64GB ROM MTK6797 Android 6.0 4G Phone P04-HMNO4G,https://web.archive.org/web/20161226164713/https:/www.tinydeal.com/xiaomi-redmi-note-4-pro-3gb-ram-64gb-rom-mtk6797-android-60-4g-phone-p-161398.html,184.3,426.08,56.75
42,"ASUS Pegasus 2 Plus X550 5.5"" 64-bit Octa-core Android 5.1 4G Phone P04-ASFM2",https://web.archive.org/web/20161226163139/https:/www.tinydeal.com/asus-pegasus-2-plus-x550-55-64-bit-octa-core-android-51-4g-phone-p-161520.html,113.99,263.52,56.74
43,Повышеный Портативный Мини Xiaomi Сгибаемый 5V 2.5W USB LED Ламп E-498351,https://web.archive.org/web/20160902073610/http:/www.tinydeal.com/upgraded-portable-xiaomi-mini-bendable-5v-25w-usb-led-light-lamp-p-157588.html,2.88,6.65,56.69
44,"QCONG METAL 5.5"" FHD MTK6753 Octa-core Android 5.1 4G Phone 3GB RAM P03-QCONG",https://web.archive.org/web/20161226163139/https:/www.tinydeal.com/qcong-metal-55-fhd-mtk6753-octa-core-android-51-4g-phone-3gb-ram-p-162228.html,102.42,235.38,56.489999999999995
45,1/2/4 pcs Original Xiaomi WIFI Amplifier 2 300Mbps Wireless Wi-Fi Extender E-523361,https://web.archive.org/web/20190225123327/https:/www.tinydeal.com/124-pcs-original-xiaomi-wifi-amplifier-2-300mbps-wireless-wi-fi-extender-p-163175.html,7.98,17.88,55.37
46,Euro Plug 3-USB Ports Smart Fast Charger Power Adapter EPACG-548181,https://web.archive.org/web/20190225123327/https:/www.tinydeal.com/euro-plug-3-usb-ports-smart-fast-charger-power-adapter-p-174743.html,2.16,4.83,55.279999999999994
47,100-LED 10M 220-240V 8-Mode Christmas LED String Lights HLD-231919,https://web.archive.org/web/20131209090029/http://www.tinydeal.com/ru/100-led-10m-220-240v-8-mode-christmas-led-string-lights-p-105635.html,5.26,11.73,55.16
48,100-LED 10M 220-240V 8-Mode Christmas LED String Lights HLD-231919,https://web.archive.org/web/20131220020812/http://www.tinydeal.com/ru/100-led-10m-220-240v-8-mode-christmas-led-string-lights-p-105635.html,5.28,11.77,55.14
49,NO.1 D5+ Quad-core MTK6580 1G/8G Android 5.1 450mAh Heart Rate Monitor E-519281-C3,https://web.archive.org/web/20161226164713/https:/www.tinydeal.com/no1-d5-quad-core-mtk6580-1g8g-android-51-450mah-heart-rate-monitor-p-162052.html,108.57,240.98,54.949999999999996
50,M5 Magnetic Sports BT 4.1 Waterproof Sports Earphones EEP-560947,https://web.archive.org/web/20190225123327/https:/www.tinydeal.com/m5-magnetic-sports-bt-41-waterproof-sports-earphones-p-178778.html,3.0,6.66,54.949999999999996
51,Xiaomi Mijia Upgraded Portable Mini Bendable 5V 2.5W USB LED Light E-498351,https://web.archive.org/web/20161226164713/https:/www.tinydeal.com/xiaomi-mijia-upgraded-portable-mini-bendable-5v-25w-usb-led-light-p-157588.html,2.88,6.39,54.93
52,USB Rechargeable Cigarette Lighter with Red LED Light HHIJL-371348,https://web.archive.org/web/20161226163139/https:/www.tinydeal.com/usb-rechargeable-cigarette-lighter-with-red-led-light-p-144364.html,2.08,4.61,54.879999999999995
53,Stainless Steel Digital Alarm Stopwatch Wrist Watch Excellent Wristwatch WWT-557947,https://web.archive.org/web/20190225123327/https:/www.tinydeal.com/stainless-steel-digital-alarm-stopwatch-wrist-watch-excellent-wristwatch-p-177604.html,2.81,6.22,54.82
54,Тайна Плавающей UFO Летающая Тарелка Фрисби Магический Трюк Игрушка TDS-495779,https://web.archive.org/web/20160902073610/http:/www.tinydeal.com/mystery-floating-ufo-flying-saucer-frisbee-magic-trick-toy-p-157394.html,1.48,3.27,54.74
55,Multifunctional Water-saving 60% ABS Faucets Water Bubbler HHI-327698,https://web.archive.org/web/20161226164713/https:/www.tinydeal.com/multifunctional-water-saving-60-abs-faucets-water-bubbler-p-134007.html,1.66,3.61,54.02
56,"LENOVO X3 LITE 5.5"" FHD MTK6753 Octa-core Android 5.1 4G Phone P05-LEX3",https://web.archive.org/web/20161226164713/https:/www.tinydeal.com/lenovo-x3-lite-55-fhd-mtk6753-octa-core-android-51-4g-phone-p-160351.html,130.16,282.84,53.98
57,"(JIAKE) MINI9500 4"" Spreadtrum SP6820 Android 2.3.6 WiFi Phone P07-JK809",https://web.archive.org/web/20131209090029/http://www.tinydeal.com/ru/jiake-mini9500-4-spreadtrum-sp6820-android-236-wifi-phone-p-108735.html,59.99,129.99,53.849999999999994
58,2pcs Christmas Series Mural Static Cling Window Stickers HDS-257083,https://web.archive.org/web/20131209090029/http://www.tinydeal.com/ru/2pcs-christmas-series-mural-static-cling-window-stickers-p-112375.html,3.69,7.99,53.82
59,Super Mini Gorgeous Speaker TF Card Player Colorful Light Voice Box HHITH-520853-C4,https://web.archive.org/web/20161226163139/https:/www.tinydeal.com/super-mini-gorgeous-speaker-tf-card-player-colorful-light-voice-box-p-162555.html,2.84,6.1,53.44
60,"RITECH Virtual Reality 3D Glasses for 3.5-5.6"" Smartphones EPATH-370295",https://web.archive.org/web/20160902073610/http:/www.tinydeal.com/ritech-virtual-reality-3d-glasses-for-35-56-smartphones-p-144029.html,8.25,17.66,53.28000000000001
61,Light Controlled Square LED Wall Night Lamp Bedroom Night Light HLT-506114,https://web.archive.org/web/20161226164713/https:/www.tinydeal.com/light-controlled-square-led-wall-night-lamp-bedroom-night-light-p-158312.html,2.08,4.45,53.26
62,Mini LED Key Finder Locator Find Lost Keys Chain Keychain Whistle Sound Control HHI-534396,https://web.archive.org/web/20190225123327/https:/www.tinydeal.com/mini-led-key-finder-locator-find-lost-keys-chain-keychain-whistle-sound-control-p-170166.html,1.46,3.12,53.21
